seq,timestampIso,epochMs,msSinceSessionStart,msSinceTrialStart,participantId,condition,block,trial,task,variant,scenario,attempt,source,category,recordType,eventType,detail,value,target,posX,posY,posZ,yaw,taskOrder,startTime,endTime,durationMs,completionStatus,attempts,injects,attribution,correctAttribution,attributionCorrect,perceivedReparability,reparabilityCorrect,noticedFeedback,firstRepairStrategy,repairSequence,wastedRepairs,repairContainsSlot,preInjectHadSlot,msToFirstRepair,maxUtteranceSimilarity,utteranceSimilarities,missingSlot,conditionOrder,plan,questionnaire,answers,objectId,objectShape,color,prevColor,fromX,fromY,fromZ,lifetimeMs,itemId,itemRaw,itemScore,itemReversed,scaleName,scaleScore,instrument
94,2026-08-06T14:43:44.723Z,1786027424723,5173,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj16,sphere,,,,,,1322,,,,,,,
95,2026-08-06T14:43:44.724Z,1786027424724,5174,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj17,sphere,,,,,,1321,,,,,,,
96,2026-08-06T14:43:44.725Z,1786027424725,5175,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj18,sphere,,,,,,267,,,,,,,
97,2026-08-06T14:43:44.725Z,1786027424725,5175,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj19,sphere,,,,,,267,,,,,,,
98,2026-08-06T14:43:44.726Z,1786027424726,5176,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj20,sphere,,,,,,266,,,,,,,
99,2026-08-06T14:43:44.726Z,1786027424726,5176,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj21,sphere,,,,,,266,,,,,,,
100,2026-08-06T14:43:44.727Z,1786027424727,5177,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj22,sphere,,,,,,265,,,,,,,
101,2026-08-06T14:43:44.727Z,1786027424727,5177,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj23,sphere,,,,,,265,,,,,,,
102,2026-08-06T14:43:44.727Z,1786027424727,5177,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj24,sphere,,,,,,264,,,,,,,
103,2026-08-06T14:43:44.728Z,1786027424728,5178,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj25,sphere,,,,,,264,,,,,,,
104,2026-08-06T14:43:44.728Z,1786027424728,5178,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj26,sphere,,,,,,264,,,,,,,
105,2026-08-06T14:43:44.729Z,1786027424729,5179,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj27,sphere,,,,,,263,,,,,,,
106,2026-08-06T14:43:44.729Z,1786027424729,5179,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj28,sphere,,,,,,262,,,,,,,
107,2026-08-06T14:43:44.730Z,1786027424730,5180,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj29,sphere,,,,,,262,,,,,,,
108,2026-08-06T14:43:44.730Z,1786027424730,5180,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj30,sphere,,,,,,261,,,,,,,
109,2026-08-06T14:43:44.731Z,1786027424731,5181,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj31,sphere,,,,,,261,,,,,,,
110,2026-08-06T14:43:44.731Z,1786027424731,5181,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj32,sphere,,,,,,261,,,,,,,
111,2026-08-06T14:43:44.732Z,1786027424732,5182,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj33,sphere,,,,,,260,,,,,,,
112,2026-08-06T14:43:44.733Z,1786027424733,5183,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj34,sphere,,,,,,259,,,,,,,
113,2026-08-06T14:43:44.733Z,1786027424733,5183,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj35,sphere,,,,,,259,,,,,,,
114,2026-08-06T14:43:44.734Z,1786027424734,5184,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj36,sphere,,,,,,259,,,,,,,
115,2026-08-06T14:43:44.734Z,1786027424734,5184,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-destroyed,sphere (scene-reset),scene-reset,sphere,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj37,sphere,,,,,,258,,,,,,,
116,2026-08-06T14:43:44.734Z,1786027424734,5184,,EXAMPLE,A,3,2,task6,v2,system_limit,0,wizard,scene,event,reset,clear-scene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2026-08-06T14:43:44.735Z,1786027424735,5185,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-spawned,sphere (scene baseline),baseline,sphere,-0.5,0.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj38,sphere,#cccccc,,,,,,,,,,,,
118,2026-08-06T14:43:44.736Z,1786027424736,5186,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-spawned,cube (scene baseline),baseline,cube,0.5,0.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj39,cube,#cccccc,,,,,,,,,,,,
119,2026-08-06T14:43:44.736Z,1786027424736,5186,,EXAMPLE,A,3,2,task6,v2,system_limit,0,system,scene,event,object-spawned,campfire (scene baseline),baseline,campfire,0,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,obj40,campfire,#ff7a1a,,,,,,,,,,,,
120,2026-08-06T14:43:44.737Z,1786027424737,5187,,EXAMPLE,A,3,,,,,,wizard,session,session-start,,,,,,,,,1-3-6-2-5-4,,,,,,,,,,,,,,,,,,,,,,A,A:task1:v1 A:task3:v2 A:task6:v3 A:task2:v1 A:task5:v2 A:task4:v3,,,,,,,,,,,,,,,,,
121,2026-08-06T14:43:44.737Z,1786027424737,5187,,EXAMPLE,A,3,2,task6,v2,system_limit,0,wizard,session,event,task-advance,task 3 of 6 → task6/v3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2026-08-06T14:43:45.091Z,1786027425091,5541,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,"{""tlx_mental"":""65"",""tlx_physical"":""20"",""tlx_temporal"":""40"",""tlx_performance"":""55"",""tlx_effort"":""70"",""tlx_frustration"":""75"",""sus1"":""3"",""sus2"":""4"",""sus3"":""2"",""sus4"":""3"",""sus5"":""3"",""sus6"":""4"",""sus7"":""3"",""sus8"":""4"",""sus9"":""2"",""sus10"":""3"",""psup1"":""2"",""psup2"":""1"",""psup3"":""2"",""psup4"":""2"",""psup5"":""2"",""attr1"":""5"",""attr2"":""3"",""attr3"":""2"",""attr4"":""2"",""attr5"":""6"",""blame_split"":""3"",""attr_confidence"":""2"",""trust01"":""3"",""trust02"":""2"",""trust03"":""4"",""trust04"":""4"",""trust05"":""1"",""trust06"":""3"",""trust07"":""4"",""trust08"":""4"",""trust09"":""3"",""trust10"":""3"",""trust11"":""3"",""trust12"":""1"",""pres1"":""5"",""pres2"":""2"",""pres3"":""5"",""pres4"":""5"",""se_post1"":""3"",""se_post2"":""3"",""se_post3"":""5"",""ues_fa1"":""3"",""ues_fa2"":""4"",""ues_fa3"":""3"",""ues_pu1"":""4"",""ues_pu2"":""4"",""ues_pu3"":""3"",""ues_ae1"":""4"",""ues_ae2"":""4"",""ues_ae3"":""4"",""ues_rw1"":""4"",""ues_rw2"":""3"",""ues_rw3"":""4"",""ssq1"":""1"",""ssq2"":""1"",""ssq3"":""0"",""ssq4"":""1"",""ssq5"":""1"",""ssq6"":""0"",""ssq7"":""0"",""ssq8"":""0"",""ssq9"":""1"",""ssq10"":""0"",""ssq11"":""0"",""ssq12"":""1"",""ssq13"":""0"",""ssq14"":""0"",""ssq15"":""0"",""ssq16"":""0"",""discomfort_post"":""2"",""fatigue_mental"":""5"",""fatigue_energy"":""3"",""iv1"":""The bench one felt like my fault. I kept thinking I was saying it wrong."",""iv2"":""Yes, I said the same thing three times. I assumed it had not heard me."",""iv3"":""Nothing really. I only worked it out afterwards when you told me."",""iv4"":""More confused at the start."",""iv5"":""There was no assistant in mine."",""iv6"":""""}",,,,,,,,,,,,,,,
123,2026-08-06T14:43:45.093Z,1786027425093,5543,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,tlx_mental,65,65,no,,,NASA-TLX (Hart & Staveland 1988)
124,2026-08-06T14:43:45.093Z,1786027425093,5543,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,tlx_physical,20,20,no,,,NASA-TLX (Hart & Staveland 1988)
125,2026-08-06T14:43:45.094Z,1786027425094,5544,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,tlx_temporal,40,40,no,,,NASA-TLX (Hart & Staveland 1988)
126,2026-08-06T14:43:45.095Z,1786027425095,5545,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,tlx_performance,55,55,no,,,NASA-TLX (Hart & Staveland 1988)
127,2026-08-06T14:43:45.095Z,1786027425095,5545,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,tlx_effort,70,70,no,,,NASA-TLX (Hart & Staveland 1988)
128,2026-08-06T14:43:45.096Z,1786027425096,5546,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,tlx_frustration,75,75,no,,,NASA-TLX (Hart & Staveland 1988)
129,2026-08-06T14:43:45.096Z,1786027425096,5546,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,sus1,3,3,no,,,SUS (Brooke 1996)
130,2026-08-06T14:43:45.097Z,1786027425097,5547,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,sus2,4,2,yes,,,SUS (Brooke 1996)
131,2026-08-06T14:43:45.097Z,1786027425097,5547,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,sus3,2,2,no,,,SUS (Brooke 1996)
132,2026-08-06T14:43:45.098Z,1786027425098,5548,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,sus4,3,3,yes,,,SUS (Brooke 1996)
133,2026-08-06T14:43:45.098Z,1786027425098,5548,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,sus5,3,3,no,,,SUS (Brooke 1996)
134,2026-08-06T14:43:45.099Z,1786027425099,5549,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,sus6,4,2,yes,,,SUS (Brooke 1996)
135,2026-08-06T14:43:45.099Z,1786027425099,5549,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,sus7,3,3,no,,,SUS (Brooke 1996)
136,2026-08-06T14:43:45.100Z,1786027425100,5550,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,sus8,4,2,yes,,,SUS (Brooke 1996)
137,2026-08-06T14:43:45.100Z,1786027425100,5550,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,sus9,2,2,no,,,SUS (Brooke 1996)
138,2026-08-06T14:43:45.101Z,1786027425101,5551,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,sus10,3,3,yes,,,SUS (Brooke 1996)
139,2026-08-06T14:43:45.101Z,1786027425101,5551,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,psup1,2,2,no,,,"Perceived Support (custom, H3)"
140,2026-08-06T14:43:45.102Z,1786027425102,5552,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,psup2,1,1,no,,,"Perceived Support (custom, H3)"
141,2026-08-06T14:43:45.102Z,1786027425102,5552,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,psup3,2,2,no,,,"Perceived Support (custom, H3)"
142,2026-08-06T14:43:45.103Z,1786027425103,5553,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,psup4,2,2,no,,,"Perceived Support (custom, H3)"
143,2026-08-06T14:43:45.104Z,1786027425104,5554,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,psup5,2,2,no,,,"Perceived Support (custom, H3)"
144,2026-08-06T14:43:45.105Z,1786027425105,5555,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,attr1,5,5,no,,,"Retrospective attribution (custom, H1)"
145,2026-08-06T14:43:45.105Z,1786027425105,5555,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,attr2,3,3,no,,,"Retrospective attribution (custom, H1)"
146,2026-08-06T14:43:45.106Z,1786027425106,5556,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,attr3,2,2,no,,,"Retrospective attribution (custom, H1)"
147,2026-08-06T14:43:45.106Z,1786027425106,5556,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,attr4,2,2,no,,,"Retrospective attribution (custom, H1)"
148,2026-08-06T14:43:45.106Z,1786027425106,5556,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,attr5,6,6,no,,,"Retrospective attribution (custom, H1)"
149,2026-08-06T14:43:45.107Z,1786027425107,5557,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,blame_split,3,3,no,,,"Graded attribution (custom, H1)"
150,2026-08-06T14:43:45.108Z,1786027425108,5558,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,attr_confidence,2,2,no,,,"Graded attribution (custom, H1)"
151,2026-08-06T14:43:45.109Z,1786027425109,5559,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,trust01,3,5,yes,,,"Trust in Automation (Jian, Bisantz & Drury 2000)"
152,2026-08-06T14:43:45.109Z,1786027425109,5559,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,trust02,2,6,yes,,,"Trust in Automation (Jian, Bisantz & Drury 2000)"
153,2026-08-06T14:43:45.110Z,1786027425110,5560,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,trust03,4,4,yes,,,"Trust in Automation (Jian, Bisantz & Drury 2000)"
154,2026-08-06T14:43:45.110Z,1786027425110,5560,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,trust04,4,4,yes,,,"Trust in Automation (Jian, Bisantz & Drury 2000)"
155,2026-08-06T14:43:45.110Z,1786027425110,5560,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,trust05,1,7,yes,,,"Trust in Automation (Jian, Bisantz & Drury 2000)"
156,2026-08-06T14:43:45.111Z,1786027425111,5561,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,trust06,3,3,no,,,"Trust in Automation (Jian, Bisantz & Drury 2000)"
157,2026-08-06T14:43:45.111Z,1786027425111,5561,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,trust07,4,4,no,,,"Trust in Automation (Jian, Bisantz & Drury 2000)"
158,2026-08-06T14:43:45.112Z,1786027425112,5562,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,trust08,4,4,no,,,"Trust in Automation (Jian, Bisantz & Drury 2000)"
159,2026-08-06T14:43:45.112Z,1786027425112,5562,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,trust09,3,3,no,,,"Trust in Automation (Jian, Bisantz & Drury 2000)"
160,2026-08-06T14:43:45.113Z,1786027425113,5563,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,trust10,3,3,no,,,"Trust in Automation (Jian, Bisantz & Drury 2000)"
161,2026-08-06T14:43:45.114Z,1786027425114,5564,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,trust11,3,3,no,,,"Trust in Automation (Jian, Bisantz & Drury 2000)"
162,2026-08-06T14:43:45.114Z,1786027425114,5564,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,trust12,1,1,no,,,"Trust in Automation (Jian, Bisantz & Drury 2000)"
163,2026-08-06T14:43:45.115Z,1786027425115,5565,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,pres1,5,5,no,,,"IPQ presence, 4 items (Schubert et al. 2001)"
164,2026-08-06T14:43:45.115Z,1786027425115,5565,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,pres2,2,6,yes,,,"IPQ presence, 4 items (Schubert et al. 2001)"
165,2026-08-06T14:43:45.116Z,1786027425116,5566,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,pres3,5,5,no,,,"IPQ presence, 4 items (Schubert et al. 2001)"
166,2026-08-06T14:43:45.116Z,1786027425116,5566,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,pres4,5,5,no,,,"IPQ presence, 4 items (Schubert et al. 2001)"
167,2026-08-06T14:43:45.117Z,1786027425117,5567,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,se_post1,3,3,no,,,"Speech-system self-efficacy (custom, post)"
168,2026-08-06T14:43:45.117Z,1786027425117,5567,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,se_post2,3,3,no,,,"Speech-system self-efficacy (custom, post)"
169,2026-08-06T14:43:45.118Z,1786027425118,5568,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,se_post3,5,5,no,,,"Speech-system self-efficacy (custom, post)"
170,2026-08-06T14:43:45.119Z,1786027425119,5569,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,ues_fa1,3,3,no,,,"UES-SF (O'Brien, Cairns & Hall 2018)"
171,2026-08-06T14:43:45.119Z,1786027425119,5569,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,ues_fa2,4,4,no,,,"UES-SF (O'Brien, Cairns & Hall 2018)"
172,2026-08-06T14:43:45.120Z,1786027425120,5570,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,ues_fa3,3,3,no,,,"UES-SF (O'Brien, Cairns & Hall 2018)"
173,2026-08-06T14:43:45.120Z,1786027425120,5570,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,ues_pu1,4,2,yes,,,"UES-SF (O'Brien, Cairns & Hall 2018)"
174,2026-08-06T14:43:45.121Z,1786027425121,5571,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,ues_pu2,4,2,yes,,,"UES-SF (O'Brien, Cairns & Hall 2018)"
175,2026-08-06T14:43:45.121Z,1786027425121,5571,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,ues_pu3,3,3,yes,,,"UES-SF (O'Brien, Cairns & Hall 2018)"
176,2026-08-06T14:43:45.122Z,1786027425122,5572,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,ues_ae1,4,4,no,,,"UES-SF (O'Brien, Cairns & Hall 2018)"
177,2026-08-06T14:43:45.123Z,1786027425123,5573,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,ues_ae2,4,4,no,,,"UES-SF (O'Brien, Cairns & Hall 2018)"
178,2026-08-06T14:43:45.123Z,1786027425123,5573,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,ues_ae3,4,4,no,,,"UES-SF (O'Brien, Cairns & Hall 2018)"
179,2026-08-06T14:43:45.123Z,1786027425123,5573,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,ues_rw1,4,4,no,,,"UES-SF (O'Brien, Cairns & Hall 2018)"
180,2026-08-06T14:43:45.124Z,1786027425124,5574,,EXAMPLE,A,3,,,,,,participant,questionnaire,questionnaire-item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post-session,,,,,,,,,,ues_rw2,3,3,no,,,"UES-SF (O'Brien, Cairns & Hall 2018)"
